latent_dim,kl_weight,batch_size,learning_rate,final_loss
4,0.03,4,0.001,106.75859832763672
4,0.03,8,0.001,213.54551696777344
4,0.06,4,0.001,107.43231201171875
4,0.06,8,0.001,214.62966918945312
4,0.1,4,0.001,107.82936096191406
4,0.1,8,0.001,215.46173095703125
6,0.03,4,0.001,106.770751953125
6,0.03,8,0.001,213.62088012695312
6,0.06,4,0.001,107.44979858398438
6,0.06,8,0.001,214.68646240234375
6,0.1,4,0.001,107.88048553466797
6,0.1,8,0.001,215.53428649902344
12,0.03,4,0.001,106.76696014404297
12,0.03,8,0.001,213.63638305664062
12,0.06,4,0.001,107.4844741821289
12,0.06,8,0.001,215.06784057617188
12,0.1,4,0.001,107.90626525878906
12,0.1,8,0.001,215.70799255371094
